"raw_id","source_id","raw_layer","raw_term","notes"
"NF-R094","NF03","hypothesis","不喜欢高事业投入",""
"NF-R095","NF03","hypothesis","不能接受低日常陪伴",""
"NF-R096","NF03","hypothesis","真正需要关键时刻高可靠",""
"NF-R097","NF03","hypothesis","不能接受长期排在事业后面",""
"NF-R098","NF03","hypothesis","不能接受生活时间不可控",""
"NF-R099","NF03","choice_map","必须要的",""
"NF-R100","NF03","choice_map","明显喜欢但不是硬门槛",""
"NF-R101","NF03","choice_map","长期最难承受的",""
"NF-R102","NF03","choice_map","其实能接受的不完美",""
"NF-R103","NF03","choice_map","愿意做的交换",""
"NF-R104","NF03","choice_map","真正喜欢的共同生活",""
"NF-R105","NF04","engine_need","NEED_DAILY_COMPANIONSHIP",""
"NF-R106","NF04","engine_need","NEED_AUTONOMY",""
"NF-R107","NF04","engine_need","NEED_SOCIAL_ENERGY",""
"NF-R108","NF04","engine_need","NEED_PREDICTABILITY",""
"NF-R109","NF04","engine_need","NEED_FAIRNESS",""
"NF-R110","NF04","engine_need","NEED_FAMILY_INVESTMENT",""
"NF-R111","NF04","engine_need","NEED_RESPONSIVENESS",""
"NF-R112","NF04","engine_need","NEED_GROWTH",""
"NF-R113","NF04","engine_need","NEED_RELATIONSHIP_PRIORITY",""
"NF-R114","NF04","engine_need","NEED_CRISIS_RELIABILITY",""
"NF-R115","NF04","engine_need","NEED_SOCIAL_BOUNDARY",""
"NF-R116","NF04","engine_need","NEED_ECONOMIC_SECURITY",""
"NF-R117","NF05","responsiveness","被理解",""
"NF-R118","NF05","responsiveness","被验证/认可",""
"NF-R119","NF05","responsiveness","被关心",""
"NF-R120","NF05","responsiveness","伴侣理解我的想法",""
"NF-R121","NF05","responsiveness","伴侣理解我的目标",""
"NF-R122","NF05","responsiveness","伴侣理解我的需要",""
"NF-R123","NF05","responsiveness","回应促进亲密",""
"NF-R124","NF06","basic_need","自主",""
"NF-R125","NF06","basic_need","胜任",""
"NF-R126","NF06","basic_need","关系/连接",""
"NF-R127","NF06","need_support","自主支持",""
"NF-R128","NF06","need_support","胜任支持",""
"NF-R129","NF06","need_support","关系支持",""
"NF-R130","NF06","need_support","互相支持需要",""
"NF-R131","NF06","need_support","需要受挫",""
"NF-R132","NF06","need_support","控制式关系",""
"NF-R133","NF06","need_support","有条件的接纳",""
"NF-R134","NF06","clarification","自主不等于疏离",""
"NF-R135","NF06","clarification","依赖也可以是自主选择",""
"NF-R136","NF06","clarification","连接和自主可以同时满足",""
"NF-R137","NF07","fit_dimension","人生目标相似",""
"NF-R138","NF07","fit_dimension","价值相似",""
"NF-R139","NF07","fit_dimension","人格相似",""
"NF-R140","NF07","fit_dimension","具体维度相似",""
"NF-R141","NF07","fit_dimension","整体画像相似",""
"NF-R142","NF07","fit_caution","相似效应总体较小",""
"NF-R143","NF07","fit_caution","个体特征常比相似度更能预测结果",""
"NF-R144","NF07","fit_caution","不同维度相似效果不同",""
"NF-R145","NF08","attachment_need","依恋焦虑",""
"NF-R146","NF08","attachment_need","依恋回避",""
"NF-R147","NF08","attachment_need","安全感",""
"NF-R148","NF08","attachment_need","被抛弃担忧",""
"NF-R149","NF08","attachment_need","亲密回避",""
"NF-R150","NF08","attachment_need","伴侣影响",""
"NF-R151","NF09","goal_support","回应式支持",""
"NF-R152","NF09","goal_support","实际支持",""
"NF-R153","NF09","goal_support","负面支持",""
"NF-R154","NF09","goal_support","自我效能",""
"NF-R155","NF09","goal_support","目标承诺",""
"NF-R156","NF09","goal_support","目标进展",""
"NF-R157","NF09","goal_support","伴侣支持成长",""
"NF-R158","NF10","sexual_need","性沟通频率",""
"NF-R159","NF10","sexual_need","性沟通质量",""
"NF-R160","NF10","sexual_need","性自我披露",""
"NF-R161","NF10","sexual_need","性满意",""
"NF-R162","NF10","sexual_need","关系满意",""
"NF-R163","NF11","sexual_autonomy","性自主支持",""
"NF-R164","NF11","sexual_autonomy","性需要满足",""
"NF-R165","NF11","sexual_autonomy","性满意",""
"NF-R166","NF11","sexual_autonomy","关系满意",""
"NF-R167","NF11","sexual_autonomy","不施压",""
"NF-R168","NF11","sexual_autonomy","尊重性选择",""
"NF-R169","NF12","dyadic_coping","共同应对",""
"NF-R170","NF12","dyadic_coping","伴侣支持",""
"NF-R171","NF12","dyadic_coping","压力沟通",""
"NF-R172","NF12","dyadic_coping","共同承担",""
"NF-R173","NF12","dyadic_coping","积极共同应对",""
"NF-R174","NF12","dyadic_coping","消极共同应对",""
"NF-R175","NF12","dyadic_coping","we-perspective",""
"NF-R176","NF13","fairness_need","家务公平",""
"NF-R177","NF13","fairness_need","育儿公平",""
"NF-R178","NF13","fairness_need","伴侣情绪支持",""
"NF-R179","NF13","fairness_need","负面互动",""
"NF-R180","NF13","fairness_need","关系满意",""
"NF-R181","NF14","financial_fit","共同账户",""
"NF-R182","NF14","financial_fit","部分共同/部分分开",""
"NF-R183","NF14","financial_fit","完全分开",""
"NF-R184","NF14","financial_fit","财务压力",""
"NF-R185","NF14","financial_fit","财务安全",""
"NF-R186","NF14","financial_fit","共同财务安排",""
"NF-R187","NF15","family_fit","与父母关系",""
"NF-R188","NF15","family_fit","与姻亲关系",""
"NF-R189","NF15","family_fit","孝亲义务",""
"NF-R190","NF15","family_fit","家庭边界",""
"NF-R191","NF15","family_fit","父母介入",""
"NF-R192","NF15","family_fit","多重家庭关系",""
"NF-R193","NF16","china_youth_preference","道德品质",""
"NF-R194","NF16","china_youth_preference","三观",""
"NF-R195","NF16","china_youth_preference","性格",""
"NF-R196","NF17","china_youth_fit","三观相合",""
"NF-R197","NF17","china_youth_fit","家庭背景",""
"NF-R198","NF17","china_youth_fit","经济条件",""
"NF-R199","NF17","china_youth_fit","职业类别",""
"NF-R200","NF18","network_need_language","高情绪价值",""
"NF-R201","NF18","network_need_language","高物质保障",""
"NF-R202","NF18","network_need_language","信任",""
"NF-R203","NF18","network_need_language","边界",""
"NF-R204","NF18","network_need_language","情感依赖",""
"NF-R205","NF18","network_need_language","高颜值",""
"NF-R206","NF19","ideal_factor","温暖/可信",""
"NF-R207","NF19","ideal_factor","活力/吸引力",""
"NF-R208","NF19","ideal_factor","地位/资源",""
"NF-R209","NF20","preference_component","身体吸引/physicality",""
"NF-R210","NF20","preference_component","关怀/compassion",""
"NF-R211","NF20","preference_component","能力/competence",""
"NF-R212","NF20","preference_component","兼容性/compatibility",""
