"candidate_id","person_concept_id","person_feature","scene_domain_id","scene_domain","stage_id","stage","trigger_id","trigger","need_id","need_content","need_shape_hint","mechanism_hint","topic_question_stub","generation_method","review_status"
"CC-00020","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-01","认识/相亲","SC-S3-01","工作时间突变","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「认识/相亲」的「兴趣/休闲/旅行」，遇到「工作时间突变」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00021","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-01","认识/相亲","SC-S3-01","工作时间突变","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「认识/相亲」的「兴趣/休闲/旅行」，遇到「工作时间突变」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00022","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-01","认识/相亲","SC-S3-10","反复小问题累积","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「认识/相亲」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00023","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-01","认识/相亲","SC-S3-10","反复小问题累积","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「认识/相亲」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00024","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-01","认识/相亲","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「认识/相亲」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00025","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-03","稳定交往","SC-S3-01","工作时间突变","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「稳定交往」的「兴趣/休闲/旅行」，遇到「工作时间突变」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00026","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-03","稳定交往","SC-S3-01","工作时间突变","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「稳定交往」的「兴趣/休闲/旅行」，遇到「工作时间突变」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00027","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-03","稳定交往","SC-S3-01","工作时间突变","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「稳定交往」的「兴趣/休闲/旅行」，遇到「工作时间突变」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00028","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-03","稳定交往","SC-S3-10","反复小问题累积","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「稳定交往」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00029","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-03","稳定交往","SC-S3-10","反复小问题累积","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「稳定交往」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00030","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-03","稳定交往","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「稳定交往」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00031","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-07","婴幼儿照护","SC-S3-01","工作时间突变","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「婴幼儿照护」的「兴趣/休闲/旅行」，遇到「工作时间突变」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00032","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-07","婴幼儿照护","SC-S3-01","工作时间突变","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「婴幼儿照护」的「兴趣/休闲/旅行」，遇到「工作时间突变」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00033","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-07","婴幼儿照护","SC-S3-01","工作时间突变","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「婴幼儿照护」的「兴趣/休闲/旅行」，遇到「工作时间突变」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00034","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-07","婴幼儿照护","SC-S3-10","反复小问题累积","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「婴幼儿照护」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00035","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-07","婴幼儿照护","SC-S3-10","反复小问题累积","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「婴幼儿照护」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00036","PF-A01","外在吸引","SC-S2-09","兴趣/休闲/旅行","SC-S1-07","婴幼儿照护","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「婴幼儿照护」的「兴趣/休闲/旅行」，遇到「反复小问题累积」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00037","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-02","恋爱/磨合","SC-S3-08","本人健康变化","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「恋爱/磨合」的「性/身体亲密」，遇到「本人健康变化」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00038","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-02","恋爱/磨合","SC-S3-08","本人健康变化","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「恋爱/磨合」的「性/身体亲密」，遇到「本人健康变化」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00039","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-02","恋爱/磨合","SC-S3-08","本人健康变化","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「恋爱/磨合」的「性/身体亲密」，遇到「本人健康变化」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00040","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-02","恋爱/磨合","SC-S3-10","反复小问题累积","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「恋爱/磨合」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00041","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-02","恋爱/磨合","SC-S3-10","反复小问题累积","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「恋爱/磨合」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00042","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-02","恋爱/磨合","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「恋爱/磨合」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00043","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-05","结婚/建立家庭","SC-S3-08","本人健康变化","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「结婚/建立家庭」的「性/身体亲密」，遇到「本人健康变化」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00044","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-05","结婚/建立家庭","SC-S3-08","本人健康变化","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「结婚/建立家庭」的「性/身体亲密」，遇到「本人健康变化」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00045","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-05","结婚/建立家庭","SC-S3-08","本人健康变化","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「结婚/建立家庭」的「性/身体亲密」，遇到「本人健康变化」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00046","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-05","结婚/建立家庭","SC-S3-10","反复小问题累积","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「结婚/建立家庭」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00047","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-05","结婚/建立家庭","SC-S3-10","反复小问题累积","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「结婚/建立家庭」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00048","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-05","结婚/建立家庭","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「结婚/建立家庭」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00049","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-06","备孕/怀孕/生育","SC-S3-08","本人健康变化","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「备孕/怀孕/生育」的「性/身体亲密」，遇到「本人健康变化」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00050","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-06","备孕/怀孕/生育","SC-S3-08","本人健康变化","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「备孕/怀孕/生育」的「性/身体亲密」，遇到「本人健康变化」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00051","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-06","备孕/怀孕/生育","SC-S3-08","本人健康变化","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「备孕/怀孕/生育」的「性/身体亲密」，遇到「本人健康变化」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00052","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-06","备孕/怀孕/生育","SC-S3-10","反复小问题累积","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「备孕/怀孕/生育」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00053","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-06","备孕/怀孕/生育","SC-S3-10","反复小问题累积","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「备孕/怀孕/生育」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00054","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-06","备孕/怀孕/生育","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「备孕/怀孕/生育」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00055","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-07","婴幼儿照护","SC-S3-08","本人健康变化","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「婴幼儿照护」的「性/身体亲密」，遇到「本人健康变化」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00056","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-07","婴幼儿照护","SC-S3-08","本人健康变化","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「婴幼儿照护」的「性/身体亲密」，遇到「本人健康变化」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00057","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-07","婴幼儿照护","SC-S3-08","本人健康变化","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「婴幼儿照护」的「性/身体亲密」，遇到「本人健康变化」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00058","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-07","婴幼儿照护","SC-S3-10","反复小问题累积","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「婴幼儿照护」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「吸引/欲望」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00059","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-07","婴幼儿照护","SC-S3-10","反复小问题累积","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「婴幼儿照护」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「陪伴/连接/归属」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00060","PF-A01","外在吸引","SC-S2-10","性/身体亲密","SC-S1-07","婴幼儿照护","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「婴幼儿照护」的「性/身体亲密」，遇到「反复小问题累积」时，对重视「性/身体亲密」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00061","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-02","恋爱/磨合","SC-S3-01","工作时间突变","NF-N1-08","成长/能力/目标支持","Fit / trade-off","N3-09","当「教育与文化资本」进入「恋爱/磨合」的「工作/事业/学习」，遇到「工作时间突变」时，对重视「成长/能力/目标支持」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00062","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-02","恋爱/磨合","SC-S3-01","工作时间突变","NF-N1-12","价值/人生方向/未来一致性","Gate / fit","N3-06/N3-07","当「教育与文化资本」进入「恋爱/磨合」的「工作/事业/学习」，遇到「工作时间突变」时，对重视「价值/人生方向/未来一致性」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00063","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-02","恋爱/磨合","SC-S3-01","工作时间突变","NF-N1-09","活力/新鲜感/有趣/共同体验","Ideal range","N3-05/N3-06","当「教育与文化资本」进入「恋爱/磨合」的「工作/事业/学习」，遇到「工作时间突变」时，对重视「活力/新鲜感/有趣/共同体验」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00064","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-02","恋爱/磨合","SC-S3-02","事业机会/职业转折","NF-N1-08","成长/能力/目标支持","Fit / trade-off","N3-09","当「教育与文化资本」进入「恋爱/磨合」的「工作/事业/学习」，遇到「事业机会/职业转折」时，对重视「成长/能力/目标支持」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00065","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-02","恋爱/磨合","SC-S3-02","事业机会/职业转折","NF-N1-12","价值/人生方向/未来一致性","Gate / fit","N3-06/N3-07","当「教育与文化资本」进入「恋爱/磨合」的「工作/事业/学习」，遇到「事业机会/职业转折」时，对重视「价值/人生方向/未来一致性」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00066","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-02","恋爱/磨合","SC-S3-02","事业机会/职业转折","NF-N1-09","活力/新鲜感/有趣/共同体验","Ideal range","N3-05/N3-06","当「教育与文化资本」进入「恋爱/磨合」的「工作/事业/学习」，遇到「事业机会/职业转折」时，对重视「活力/新鲜感/有趣/共同体验」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00067","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-05","结婚/建立家庭","SC-S3-01","工作时间突变","NF-N1-08","成长/能力/目标支持","Fit / trade-off","N3-09","当「教育与文化资本」进入「结婚/建立家庭」的「工作/事业/学习」，遇到「工作时间突变」时，对重视「成长/能力/目标支持」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00068","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-05","结婚/建立家庭","SC-S3-01","工作时间突变","NF-N1-12","价值/人生方向/未来一致性","Gate / fit","N3-06/N3-07","当「教育与文化资本」进入「结婚/建立家庭」的「工作/事业/学习」，遇到「工作时间突变」时，对重视「价值/人生方向/未来一致性」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00069","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-05","结婚/建立家庭","SC-S3-01","工作时间突变","NF-N1-09","活力/新鲜感/有趣/共同体验","Ideal range","N3-05/N3-06","当「教育与文化资本」进入「结婚/建立家庭」的「工作/事业/学习」，遇到「工作时间突变」时，对重视「活力/新鲜感/有趣/共同体验」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
"CC-00070","PF-A04","教育与文化资本","SC-S2-02","工作/事业/学习","SC-S1-05","结婚/建立家庭","SC-S3-02","事业机会/职业转折","NF-N1-08","成长/能力/目标支持","Fit / trade-off","N3-09","当「教育与文化资本」进入「结婚/建立家庭」的「工作/事业/学习」，遇到「事业机会/职业转折」时，对重视「成长/能力/目标支持」的人意味着什么？","generated_by_constrained_mapping","unreviewed"
