"priority_id","source_candidate_id","entry_language","person_concept_id","person_feature","domain_id","domain","stage_id","stage","trigger_id","trigger","primary_need_id","primary_need","reframe_need_id","topic_question","topic_role","semantic_fit","reality_fit","need_relevance","observable","reframe_strength","no_false_causality","status"
"P11","CC2-00868","独立 / 重自由","PF-D04","自由/自主价值","SC-S2-08","社交/朋友/个人空间","SC-S1-05","结婚/建立家庭","SC-S3-09","社交/边界事件","NF-N1-04","自主/空间/自由","NF-N1-02","给彼此空间很好，婚后社交和个人生活的边界到底在哪里？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P12","CC2-01798","朋友多 / 爱社交","PF-F04","社交密度","SC-S2-08","社交/朋友/个人空间","SC-S1-03","稳定交往","SC-S3-09","社交/边界事件","NF-N1-09","活力/新鲜感/有趣/共同体验","NF-N1-02","你喜欢他的社交能力，也真的喜欢他这样的周末吗？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P13","CC2-01849","自律 / 爱健身","PF-F05","运动/健康投入","SC-S2-09","兴趣/休闲/旅行","SC-S1-03","稳定交往","SC-S3-10","反复小问题累积","NF-N1-09","活力/新鲜感/有趣/共同体验","NF-N1-02","你喜欢的是他的好状态，还是也喜欢支撑这种状态的生活？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P14","CC2-01741","节俭 / 会存钱","PF-F03","消费/储蓄方式","SC-S2-03","钱/财务","SC-S1-05","结婚/建立家庭","SC-S3-04","大额财务事件","NF-N1-06","经济/物质安全","NF-N1-09","省钱给你安全感，但哪些生活体验你不想一直省掉？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P15","CC2-02035","随性 / 计划性低","PF-F08","计划性/可预测性","SC-S2-09","兴趣/休闲/旅行","SC-S1-03","稳定交往","SC-S3-10","反复小问题累积","NF-N1-05","安全/信任/可预测","NF-N1-04","随性很自由，但计划总变时你会觉得刺激还是累？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P16","CC2-01909","作息规律 / 夜猫子","PF-F06","作息/日常节奏","SC-S2-01","日常作息与生活管理","SC-S1-04","同居/婚前","SC-S3-10","反复小问题累积","NF-N1-05","安全/信任/可预测","NF-N1-04","恋爱时没事，同居以后睡觉时间不同会不会变成每天的小摩擦？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P17","CC2-01375","情绪稳定","PF-E03","情绪调节能力","SC-S2-11","健康/疾病/照护","SC-S1-03","稳定交往","SC-S3-08","本人健康变化","NF-N1-03","被理解/被回应/被关心","NF-N1-05","他很冷静，但你真正难受的时候，他能不能接住你？","Label-deconstruction","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P18","CC2-01441","会沟通 / 会共情","PF-E04","沟通/共情能力","SC-S2-07","双方父母/原生家庭","SC-S1-05","结婚/建立家庭","SC-S3-07","父母责任变化","NF-N1-03","被理解/被回应/被关心","NF-N1-11","会说话不难，父母和伴侣真正冲突时他怎么沟通？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P19","CC2-02461","脾气好 / 不吵架","PF-G05","冲突表达","SC-S2-05","家务/家庭劳动","SC-S1-04","同居/婚前","SC-S3-10","反复小问题累积","NF-N1-03","被理解/被回应/被关心","NF-N1-07","从来不吵架，是好相处，还是很多不满根本没说？","Label-deconstruction","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P20","CC2-02555","会道歉 / 会改","PF-G06","修复能力","SC-S2-05","家务/家庭劳动","SC-S1-07","婴幼儿照护","SC-S3-10","反复小问题累积","NF-N1-07","公平/可靠/合作","NF-N1-03","真正重要的不是道歉，而是同一件家务问题下次还会不会回来。","Relationship-process","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P21","CC2-02191","靠谱 / 有责任感","PF-G02","承诺执行/可靠","SC-S2-11","健康/疾病/照护","SC-S1-03","稳定交往","SC-S3-08","本人健康变化","NF-N1-07","公平/可靠/合作","NF-N1-02","平时不一定天天陪你，但你生病时他会不会真的出现？","Relationship-process","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P22","CC2-02179","体贴 / 情绪价值","PF-G01","回应性","SC-S2-02","工作/事业/学习","SC-S1-05","结婚/建立家庭","SC-S3-01","工作时间突变","NF-N1-03","被理解/被回应/被关心","NF-N1-02","你说自己需要陪伴以后，他是真的理解了，还是只说几句好听的？","Relationship-process","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P23","CC2-02365","边界感","PF-G04","边界尊重","SC-S2-07","双方父母/原生家庭","SC-S1-05","结婚/建立家庭","SC-S3-07","父母责任变化","NF-N1-04","自主/空间/自由","NF-N1-11","尊重父母和尊重伴侣，真正冲突时边界怎么画？","Relationship-process","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P24","CC2-02680","专一 / 忠诚","PF-G08","忠诚执行","SC-S2-08","社交/朋友/个人空间","SC-S1-03","稳定交往","SC-S3-09","社交/边界事件","NF-N1-05","安全/信任/可预测","NF-N1-04","专一不是没有异性朋友，而是你们到底怎样定义和执行边界。","Label-deconstruction","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P25","CC2-01021","想要孩子 / 不想要孩子","PF-D06","婚育方向","SC-S2-12","价值/人生方向","SC-S1-05","结婚/建立家庭","SC-S3-06","生育/育儿转折","NF-N1-12","价值/人生方向/未来一致性","NF-N1-11","有些差异能磨合，要不要孩子为什么常常不是普通取舍？","Direction-conflict","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P26","CC2-00169","高收入 / 收入稳定","PF-A06","当前收入与经济稳定","SC-S2-03","钱/财务","SC-S1-06","备孕/怀孕/生育","SC-S3-03","失业/收入下降","NF-N1-06","经济/物质安全","NF-N1-05","怀孕以后收入突然变化，你真正需要的是高收入还是抗风险能力？","Selection-proxy","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P27","CC2-00607","出差多 / 轮班 / 996","PF-B06","职业环境约束","SC-S2-01","日常作息与生活管理","SC-S1-07","婴幼儿照护","SC-S3-01","工作时间突变","NF-N1-02","陪伴/连接/归属","NF-N1-07","职业没问题，但这种工作方式进入带娃生活以后是什么样？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P28","CC2-01085","忠诚 / 边界观","PF-D07","忠诚/边界价值","SC-S2-10","性/身体亲密","SC-S1-05","结婚/建立家庭","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","NF-N1-05","你们都说自己专一，但对性、异性和隐私的边界真的是同一套吗？","Direction-fit","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P29","CC2-01489","生活能力强 / 会做饭","PF-E05","生活管理能力","SC-S2-05","家务/家庭劳动","SC-S1-04","同居/婚前","SC-S3-10","反复小问题累积","NF-N1-07","公平/可靠/合作","NF-N1-11","会做饭很好，但共同生活真正累人的可能是没人负责记住和安排。","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P30","CC2-01583","愿意改 / 会反思","PF-E06","学习/修正能力","SC-S2-05","家务/家庭劳动","SC-S1-07","婴幼儿照护","SC-S3-10","反复小问题累积","NF-N1-07","公平/可靠/合作","NF-N1-03","他说会改，和半年后真的形成新习惯，是两回事。","Relationship-process","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
