"topic_seed_id","series_id","series_name","entry_id","entry_label","mapped_person_concepts","entry_mapping_status","template_id","scene_focus","primary_need_id","topic_seed","generation_method","review_status"
"ST2-0011","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「产品 / 项目 / 管理岗」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0012","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T02","同居 / 作息","NF-N1-05","和「产品 / 项目 / 管理岗」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0013","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「产品 / 项目 / 管理岗」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0014","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「产品 / 项目 / 管理岗」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0015","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T05","关键时刻","NF-N1-07","和「产品 / 项目 / 管理岗」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0016","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「公务员 / 体制内」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0017","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T02","同居 / 作息","NF-N1-05","和「公务员 / 体制内」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0018","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T03","事业机会 / 城市","NF-N1-12","「公务员 / 体制内」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0019","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T04","育儿 / 家庭责任","NF-N1-07","「公务员 / 体制内」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0020","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T05","关键时刻","NF-N1-07","和「公务员 / 体制内」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0021","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「国企 / 稳定组织」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0022","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T02","同居 / 作息","NF-N1-05","和「国企 / 稳定组织」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0023","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T03","事业机会 / 城市","NF-N1-12","「国企 / 稳定组织」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0024","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T04","育儿 / 家庭责任","NF-N1-07","「国企 / 稳定组织」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0025","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T05","关键时刻","NF-N1-07","和「国企 / 稳定组织」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0026","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「教师」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0027","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T02","同居 / 作息","NF-N1-05","和「教师」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0028","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T03","事业机会 / 城市","NF-N1-12","「教师」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0029","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T04","育儿 / 家庭责任","NF-N1-07","「教师」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0030","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T05","关键时刻","NF-N1-07","和「教师」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0031","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「医生 / 医护 / 轮班岗位」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0032","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T02","同居 / 作息","NF-N1-05","和「医生 / 医护 / 轮班岗位」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0033","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「医生 / 医护 / 轮班岗位」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0034","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「医生 / 医护 / 轮班岗位」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0035","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T05","关键时刻","NF-N1-07","和「医生 / 医护 / 轮班岗位」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0036","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「销售 / 商务 / 高频社交岗位」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0037","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T02","同居 / 作息","NF-N1-05","和「销售 / 商务 / 高频社交岗位」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0038","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「销售 / 商务 / 高频社交岗位」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0039","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「销售 / 商务 / 高频社交岗位」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0040","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T05","关键时刻","NF-N1-07","和「销售 / 商务 / 高频社交岗位」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0041","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「金融 / 高收入高压力岗位」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0042","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T02","同居 / 作息","NF-N1-05","和「金融 / 高收入高压力岗位」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0043","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「金融 / 高收入高压力岗位」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0044","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「金融 / 高收入高压力岗位」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0045","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T05","关键时刻","NF-N1-07","和「金融 / 高收入高压力岗位」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0046","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「创业者 / 小老板」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0047","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T02","同居 / 作息","NF-N1-05","和「创业者 / 小老板」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0048","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T03","事业机会 / 城市","NF-N1-12","「创业者 / 小老板」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0049","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T04","育儿 / 家庭责任","NF-N1-07","「创业者 / 小老板」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0050","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T05","关键时刻","NF-N1-07","和「创业者 / 小老板」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0051","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「自由职业 / 灵活工作」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0052","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T02","同居 / 作息","NF-N1-05","和「自由职业 / 灵活工作」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0053","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「自由职业 / 灵活工作」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0054","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「自由职业 / 灵活工作」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0055","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T05","关键时刻","NF-N1-07","和「自由职业 / 灵活工作」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0056","S01","工作岗位 / 工作方式系列","S01-E01","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「高频出差 / 外派岗位」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0057","S01","工作岗位 / 工作方式系列","S01-E01","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped","T02","同居 / 作息","NF-N1-05","和「高频出差 / 外派岗位」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0058","S01","工作岗位 / 工作方式系列","S01-E01","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped","T03","事业机会 / 城市","NF-N1-12","「高频出差 / 外派岗位」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0059","S01","工作岗位 / 工作方式系列","S01-E01","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped","T04","育儿 / 家庭责任","NF-N1-07","「高频出差 / 外派岗位」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0060","S01","工作岗位 / 工作方式系列","S01-E01","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped","T05","关键时刻","NF-N1-07","和「高频出差 / 外派岗位」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0061","S01","工作岗位 / 工作方式系列","S01-E01","夜班 / 轮班工作","PF-B06;PF-F06","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「夜班 / 轮班工作」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0062","S01","工作岗位 / 工作方式系列","S01-E01","夜班 / 轮班工作","PF-B06;PF-F06","mapped","T02","同居 / 作息","NF-N1-05","和「夜班 / 轮班工作」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0063","S01","工作岗位 / 工作方式系列","S01-E01","夜班 / 轮班工作","PF-B06;PF-F06","mapped","T03","事业机会 / 城市","NF-N1-12","「夜班 / 轮班工作」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0064","S01","工作岗位 / 工作方式系列","S01-E01","夜班 / 轮班工作","PF-B06;PF-F06","mapped","T04","育儿 / 家庭责任","NF-N1-07","「夜班 / 轮班工作」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0065","S01","工作岗位 / 工作方式系列","S01-E01","夜班 / 轮班工作","PF-B06;PF-F06","mapped","T05","关键时刻","NF-N1-07","和「夜班 / 轮班工作」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0066","S01","工作岗位 / 工作方式系列","S01-E01","工作清闲 / 低事业投入","PF-F01;PF-D05","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「工作清闲 / 低事业投入」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0067","S01","工作岗位 / 工作方式系列","S01-E01","工作清闲 / 低事业投入","PF-F01;PF-D05","mapped","T02","同居 / 作息","NF-N1-05","和「工作清闲 / 低事业投入」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0068","S01","工作岗位 / 工作方式系列","S01-E01","工作清闲 / 低事业投入","PF-F01;PF-D05","mapped","T03","事业机会 / 城市","NF-N1-12","「工作清闲 / 低事业投入」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0069","S01","工作岗位 / 工作方式系列","S01-E01","工作清闲 / 低事业投入","PF-F01;PF-D05","mapped","T04","育儿 / 家庭责任","NF-N1-07","「工作清闲 / 低事业投入」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0070","S01","工作岗位 / 工作方式系列","S01-E01","工作清闲 / 低事业投入","PF-F01;PF-D05","mapped","T05","关键时刻","NF-N1-07","和「工作清闲 / 低事业投入」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0071","S01","工作岗位 / 工作方式系列","S01-E01","双城 / 长期异地工作","PF-B01;PF-B06","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「双城 / 长期异地工作」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0072","S01","工作岗位 / 工作方式系列","S01-E01","双城 / 长期异地工作","PF-B01;PF-B06","mapped","T02","同居 / 作息","NF-N1-05","和「双城 / 长期异地工作」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0073","S01","工作岗位 / 工作方式系列","S01-E01","双城 / 长期异地工作","PF-B01;PF-B06","mapped","T03","事业机会 / 城市","NF-N1-12","「双城 / 长期异地工作」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0074","S01","工作岗位 / 工作方式系列","S01-E01","双城 / 长期异地工作","PF-B01;PF-B06","mapped","T04","育儿 / 家庭责任","NF-N1-07","「双城 / 长期异地工作」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0075","S01","工作岗位 / 工作方式系列","S01-E01","双城 / 长期异地工作","PF-B01;PF-B06","mapped","T05","关键时刻","NF-N1-07","和「双城 / 长期异地工作」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0076","S02","性格 / 气质系列","S02-E01","老实","PF-G08;PF-F04;PF-G05","needs_resolution","T01","标签拆解","NF-N1-03","人们说一个人「老实」时，现实里可能在说哪几种完全不同的事？","series_seed_v0.2","unreviewed"
"ST2-0077","S02","性格 / 气质系列","S02-E01","老实","PF-G08;PF-F04;PF-G05","needs_resolution","T02","冲突","NF-N1-07","一个「老实」的人遇到真正不同意的事时，会怎么表达和处理？","series_seed_v0.2","unreviewed"
"ST2-0078","S02","性格 / 气质系列","S02-E01","老实","PF-G08;PF-F04;PF-G05","needs_resolution","T03","压力","NF-N1-05","平时看起来很「老实」，压力真的上来以后，这个特点会怎么表现？","series_seed_v0.2","unreviewed"
"ST2-0079","S02","性格 / 气质系列","S02-E01","老实","PF-G08;PF-F04;PF-G05","needs_resolution","T04","Need / Fit","NF-N1-04","如果伴侣需要的东西不同，「老实」为什么可能让一个人舒服、另一个人长期很累？","series_seed_v0.2","unreviewed"
"ST2-0080","S02","性格 / 气质系列","S02-E01","情绪稳定","PF-E03","mapped","T01","标签拆解","NF-N1-03","人们说一个人「情绪稳定」时，现实里可能在说哪几种完全不同的事？","series_seed_v0.2","unreviewed"
"ST2-0081","S02","性格 / 气质系列","S02-E01","情绪稳定","PF-E03","mapped","T02","冲突","NF-N1-07","一个「情绪稳定」的人遇到真正不同意的事时，会怎么表达和处理？","series_seed_v0.2","unreviewed"
"ST2-0082","S02","性格 / 气质系列","S02-E01","情绪稳定","PF-E03","mapped","T03","压力","NF-N1-05","平时看起来很「情绪稳定」，压力真的上来以后，这个特点会怎么表现？","series_seed_v0.2","unreviewed"
"ST2-0083","S02","性格 / 气质系列","S02-E01","情绪稳定","PF-E03","mapped","T04","Need / Fit","NF-N1-04","如果伴侣需要的东西不同，「情绪稳定」为什么可能让一个人舒服、另一个人长期很累？","series_seed_v0.2","unreviewed"
"ST2-0084","S02","性格 / 气质系列","S02-E01","理性","PF-E02;PF-E03","mapped","T01","标签拆解","NF-N1-03","人们说一个人「理性」时，现实里可能在说哪几种完全不同的事？","series_seed_v0.2","unreviewed"
"ST2-0085","S02","性格 / 气质系列","S02-E01","理性","PF-E02;PF-E03","mapped","T02","冲突","NF-N1-07","一个「理性」的人遇到真正不同意的事时，会怎么表达和处理？","series_seed_v0.2","unreviewed"
"ST2-0086","S02","性格 / 气质系列","S02-E01","理性","PF-E02;PF-E03","mapped","T03","压力","NF-N1-05","平时看起来很「理性」，压力真的上来以后，这个特点会怎么表现？","series_seed_v0.2","unreviewed"
"ST2-0087","S02","性格 / 气质系列","S02-E01","理性","PF-E02;PF-E03","mapped","T04","Need / Fit","NF-N1-04","如果伴侣需要的东西不同，「理性」为什么可能让一个人舒服、另一个人长期很累？","series_seed_v0.2","unreviewed"
"ST2-0088","S02","性格 / 气质系列","S02-E01","强势 / 有主见","PF-G09;PF-E02","mapped","T01","标签拆解","NF-N1-03","人们说一个人「强势 / 有主见」时，现实里可能在说哪几种完全不同的事？","series_seed_v0.2","unreviewed"
"ST2-0089","S02","性格 / 气质系列","S02-E01","强势 / 有主见","PF-G09;PF-E02","mapped","T02","冲突","NF-N1-07","一个「强势 / 有主见」的人遇到真正不同意的事时，会怎么表达和处理？","series_seed_v0.2","unreviewed"
"ST2-0090","S02","性格 / 气质系列","S02-E01","强势 / 有主见","PF-G09;PF-E02","mapped","T03","压力","NF-N1-05","平时看起来很「强势 / 有主见」，压力真的上来以后，这个特点会怎么表现？","series_seed_v0.2","unreviewed"
"ST2-0091","S02","性格 / 气质系列","S02-E01","强势 / 有主见","PF-G09;PF-E02","mapped","T04","Need / Fit","NF-N1-04","如果伴侣需要的东西不同，「强势 / 有主见」为什么可能让一个人舒服、另一个人长期很累？","series_seed_v0.2","unreviewed"
"ST2-0092","S02","性格 / 气质系列","S02-E01","随和 / 脾气好","PF-G05;PF-E03","mapped","T01","标签拆解","NF-N1-03","人们说一个人「随和 / 脾气好」时，现实里可能在说哪几种完全不同的事？","series_seed_v0.2","unreviewed"
"ST2-0093","S02","性格 / 气质系列","S02-E01","随和 / 脾气好","PF-G05;PF-E03","mapped","T02","冲突","NF-N1-07","一个「随和 / 脾气好」的人遇到真正不同意的事时，会怎么表达和处理？","series_seed_v0.2","unreviewed"
"ST2-0094","S02","性格 / 气质系列","S02-E01","随和 / 脾气好","PF-G05;PF-E03","mapped","T03","压力","NF-N1-05","平时看起来很「随和 / 脾气好」，压力真的上来以后，这个特点会怎么表现？","series_seed_v0.2","unreviewed"
"ST2-0095","S02","性格 / 气质系列","S02-E01","随和 / 脾气好","PF-G05;PF-E03","mapped","T04","Need / Fit","NF-N1-04","如果伴侣需要的东西不同，「随和 / 脾气好」为什么可能让一个人舒服、另一个人长期很累？","series_seed_v0.2","unreviewed"
"ST2-0096","S02","性格 / 气质系列","S02-E01","敏感","PF-E03;PF-G01","needs_resolution","T01","标签拆解","NF-N1-03","人们说一个人「敏感」时，现实里可能在说哪几种完全不同的事？","series_seed_v0.2","unreviewed"
"ST2-0097","S02","性格 / 气质系列","S02-E01","敏感","PF-E03;PF-G01","needs_resolution","T02","冲突","NF-N1-07","一个「敏感」的人遇到真正不同意的事时，会怎么表达和处理？","series_seed_v0.2","unreviewed"
"ST2-0098","S02","性格 / 气质系列","S02-E01","敏感","PF-E03;PF-G01","needs_resolution","T03","压力","NF-N1-05","平时看起来很「敏感」，压力真的上来以后，这个特点会怎么表现？","series_seed_v0.2","unreviewed"
