"entry_id","series_id","series_name","entry_label","mapped_person_concepts","mapping_status","note"
"S03-E01","S03","生活方式 / 习惯系列","爱旅行","PF-F07","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","爱社交","PF-F04","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","宅","PF-F04;PF-F07","needs_resolution",""
"S03-E01","S03","生活方式 / 习惯系列","爱打游戏","PF-F07","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","节俭","PF-F03","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","会享受生活","PF-F03;PF-F07","needs_resolution",""
"S03-E01","S03","生活方式 / 习惯系列","高消费","PF-F03","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","爱干净 / 整洁","PF-E05;PF-F06","needs_resolution",""
"S03-E01","S03","生活方式 / 习惯系列","早睡","PF-F06","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","夜猫子","PF-F06","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","计划型","PF-F08","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","随性","PF-F08","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","爱做饭","PF-E05","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","兴趣很多","PF-F07","mapped",""
"S04-E01","S04","相处 / 关系方式系列","顾家","PF-D02;PF-F09","mapped",""
"S04-E01","S04","相处 / 关系方式系列","靠谱 / 有责任感","PF-G02","mapped",""
"S04-E01","S04","相处 / 关系方式系列","体贴","PF-G01;PF-G07","mapped",""
"S04-E01","S04","相处 / 关系方式系列","会照顾人","PF-G07","mapped",""
"S04-E01","S04","相处 / 关系方式系列","会沟通","PF-E04;PF-G01","mapped",""
"S04-E01","S04","相处 / 关系方式系列","会共情","PF-E04;PF-G01","mapped",""
"S04-E01","S04","相处 / 关系方式系列","情绪价值高","PF-G01","mapped",""
"S04-E01","S04","相处 / 关系方式系列","独立 / 给空间","PF-D04;PF-F02","mapped",""
"S04-E01","S04","相处 / 关系方式系列","黏人 / 高陪伴","PF-F02","needs_resolution",""
"S04-E01","S04","相处 / 关系方式系列","有边界感","PF-G04","mapped",""
"S04-E01","S04","相处 / 关系方式系列","会道歉","PF-G06","mapped",""
"S04-E01","S04","相处 / 关系方式系列","会修复","PF-G06","mapped",""
"S04-E01","S04","相处 / 关系方式系列","专一 / 忠诚","PF-G08;PF-D07","mapped",""
"S04-E01","S04","相处 / 关系方式系列","有仪式感","PF-F07","mapped",""
"S04-E01","S04","相处 / 关系方式系列","愿意分担","PF-G03","mapped",""
"S04-E01","S04","相处 / 关系方式系列","强势 / 喜欢做主","PF-G09","mapped",""
"S05-E01","S05","钱 / 现实条件系列","高收入","PF-A06","mapped",""
"S05-E01","S05","钱 / 现实条件系列","收入稳定","PF-A06;PF-D05","mapped",""
"S05-E01","S05","钱 / 现实条件系列","会赚钱","PF-E01;PF-A06","mapped",""
"S05-E01","S05","钱 / 现实条件系列","有房","PF-A07","mapped",""
"S05-E01","S05","钱 / 现实条件系列","有车","PF-A07","mapped",""
"S05-E01","S05","钱 / 现实条件系列","家庭条件好","PF-A08","mapped",""
"S05-E01","S05","钱 / 现实条件系列","高学历","PF-A04","mapped",""
"S05-E01","S05","钱 / 现实条件系列","名校","PF-A04","mapped",""
"S05-E01","S05","钱 / 现实条件系列","本地人","PF-B01","mapped",""
"S05-E01","S05","钱 / 现实条件系列","年龄","PF-A03","mapped",""
"S05-E01","S05","钱 / 现实条件系列","身高 / 身材","PF-A02","mapped",""
"S05-E01","S05","钱 / 现实条件系列","婚史 / 有无孩子","PF-A09","mapped",""
"S05-E01","S05","钱 / 现实条件系列","负债","PF-B05","mapped",""
"S05-E01","S05","钱 / 现实条件系列","工作稳定","PF-D05;PF-A05","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","孝顺","PF-D08","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","家庭观念强","PF-D02","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","父母同城","PF-B03","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","与父母同住","PF-B03;PF-B01","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","独生子女","PF-B02","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","兄弟姐妹多","PF-B02","editorial_seed",""
"S06-E01","S06","家庭 / 原生家庭系列","父母强势 / 介入多","PF-B03;PF-G04","needs_resolution",""
"S06-E01","S06","家庭 / 原生家庭系列","父母开明","PF-B03;PF-G04","needs_resolution",""
"S06-E01","S06","家庭 / 原生家庭系列","家庭关系紧密","PF-B02;PF-D02","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","家庭关系简单","PF-B02","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","父母能帮带娃","PF-B03;PF-F09","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","父母需要经济支持","PF-D08;PF-F09","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","父母需要长期照护","PF-D08;PF-F09","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","家庭经济支持强","PF-A08;PF-B03","mapped",""
"S06-E01","S06","家庭 / 原生家庭系列","小家庭边界清楚","PF-G04;PF-D02","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","事业心强","PF-D01","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","求稳","PF-D05","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","追求成长","PF-D03","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","重家庭","PF-D02","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","重自由","PF-D04","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","想创业","PF-D01;PF-B04","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","想换城市 / 去外地","PF-B01;PF-D04","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","要孩子","PF-D06","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","不要孩子","PF-D06","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","想早婚 / 晚婚","PF-D06","needs_resolution",""
"S07-E01","S07","人生目标 / 价值选择系列","重物质安全","PF-D05;PF-A06","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","重体验","PF-F07;PF-D04","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","重忠诚","PF-D07","mapped",""
"S07-E01","S07","人生目标 / 价值选择系列","成功定义强 / 目标明确","PF-D01;PF-D03","needs_resolution",""
"S08-E01","S08","能力 / 成熟度系列","赚钱能力强","PF-E01","mapped",""
"S08-E01","S08","能力 / 成熟度系列","会做决定","PF-E02","mapped",""
"S08-E01","S08","能力 / 成熟度系列","逻辑强","PF-E02","mapped",""
"S08-E01","S08","能力 / 成熟度系列","情绪调节好","PF-E03","mapped",""
"S08-E01","S08","能力 / 成熟度系列","会沟通","PF-E04","mapped",""
"S08-E01","S08","能力 / 成熟度系列","会共情","PF-E04","mapped",""
"S08-E01","S08","能力 / 成熟度系列","生活管理能力强","PF-E05","mapped",""
"S08-E01","S08","能力 / 成熟度系列","会做饭 / 会做家务","PF-E05","mapped",""
"S08-E01","S08","能力 / 成熟度系列","会反思 / 能改","PF-E06","mapped",""
"S08-E01","S08","能力 / 成熟度系列","抗压力","PF-E03;PF-G07","needs_resolution",""
"S08-E01","S08","能力 / 成熟度系列","会解决问题","PF-E02","mapped",""
"S08-E01","S08","能力 / 成熟度系列","能长期承担责任","PF-G02;PF-G03","mapped",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","长得好看","PF-A01","mapped",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","看着顺眼","PF-A01","mapped",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","身高","PF-A02","mapped",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","身材","PF-A02","mapped",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","健身身材","PF-A02;PF-F05","mapped",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","穿搭 / 精致","PF-A01;PF-F07","editorial_seed",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","年龄感","PF-A03;PF-A01","needs_resolution",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","生理吸引","PF-A01","mapped",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","相处后越来越喜欢","PF-A01;PF-G01","needs_resolution",""
"S09-E01","S09","外貌 / 身体 / 吸引系列","第一眼普通但长期有吸引","PF-A01;PF-G01","needs_resolution",""
