"concept_id","view","group","canonical_concept","user_language_examples","observation_focus","concept_kind"
"PF-B06","B","工作环境","职业环境约束","长期出差;轮班;996;工作灵活","区分职业标签与实际工作方式","context"
"PF-D01","D","价值/目标","事业优先级","事业心强;上进;有野心","看真实目标与关键节点取舍","value_goal"
"PF-D02","D","价值/目标","家庭优先级","顾家;家庭观念强","看小家/大家庭、时间钱与决策投入","value_goal"
"PF-D03","D","价值/目标","成长导向","爱学习;追求成长","区分目标、能力与实际投入","value_goal"
"PF-D04","D","价值/目标","自由/自主价值","重自由;不喜欢被管","看边界和共同责任冲突时如何处理","value_goal"
"PF-D05","D","价值/目标","安全/稳定价值","求稳;重安全","看钱、工作、城市、关系中的风险取向","value_goal"
"PF-D06","D","价值/目标","婚育方向","想结婚;想要孩子;丁克","长期方向类，可能成为硬门槛","value_goal"
"PF-D07","D","价值/目标","忠诚/边界价值","专一;重忠诚;边界感","需要落到具体边界行为","value_goal"
"PF-D08","D","价值/目标","父母/孝亲义务","孝顺;重父母","看时间、钱、照护和夫妻边界","value_goal"
"PF-E01","E","能力/调节","工作与赚钱能力","能力强;会赚钱;业务强","与当前收入、努力程度分开","capability"
"PF-E02","E","能力/调节","思考/决策能力","理性;逻辑强;会做决定","看复杂选择与错误修正","capability"
"PF-E03","E","能力/调节","情绪调节能力","情绪稳定;自控力强","不等于共情或不表达","capability"
"PF-E04","E","能力/调节","沟通/共情能力","会沟通;会共情;懂我","需通过具体表达和理解行为验证","capability"
"PF-E05","E","能力/调节","生活管理能力","会做饭;会安排;生活能力强","看日常执行、计划与Mental Load","capability"
"PF-E06","E","能力/调节","学习/修正能力","听得进;会反思;能改","改变意愿不等于持续改变","capability"
"PF-F01","F","资源分配","工作投入强度","工作狂;事业投入高;工作清闲","看时间精力和工作侵入家庭","resource_allocation"
"PF-F02","F","资源分配","日常可用时间","有时间陪;经常加班;出差多","区分日常陪伴与关键时刻可靠","resource_allocation"
"PF-F03","F","资源分配","消费/储蓄方式","节俭;会花钱;高消费;会理财","看钱的目的、透明与共同目标","resource_allocation"
"PF-F04","F","资源分配","社交密度","会社交;朋友多;宅;圈子小","看周末、边界、共同/独立社交","resource_allocation"
"PF-F05","F","资源分配","运动/健康投入","自律;爱健身;爱运动","看时间、作息、饮食与可持续性","resource_allocation"
"PF-F06","F","资源分配","作息/日常节奏","早睡;夜猫子;生活规律","高频共同生活摩擦来源","resource_allocation"
"PF-F07","F","资源分配","兴趣/体验投入","爱旅行;爱游戏;爱美食;有趣","看共同活动与各自空间","resource_allocation"
"PF-F08","F","资源分配","计划性/可预测性","计划型;随性;临时起意","看计划变更与不确定性承受","resource_allocation"
"PF-F09","F","资源分配","家庭资源投入","愿意做家务;愿意带娃;常陪父母","看小家、孩子和双方父母之间的分配","resource_allocation"
"PF-G01","G","关系行为","回应性","体贴;会提供情绪价值;懂我","表达后是否理解、验证、关心并回应","relationship_pattern"
"PF-G02","G","关系行为","承诺执行/可靠","靠谱;有责任感;说到做到","看关键时刻、代价承担和补救","relationship_pattern"
"PF-G03","G","关系行为","公平/合作","平等;愿意分担","看家务、育儿、钱、Mental Load是否可协商","relationship_pattern"
"PF-G04","G","关系行为","边界尊重","尊重人;有边界感;不控制","看父母、朋友、异性、隐私和空间","relationship_pattern"
"PF-G05","G","关系行为","冲突表达","脾气好;不吵架;冷处理","看不同意时表达、攻击、回避还是讨论","relationship_pattern"
"PF-G06","G","关系行为","修复能力","会道歉;会复盘;会改","看冲突后是否真正调整并维持","relationship_pattern"
"PF-G07","G","关系行为","支持/照护","会照顾人;愿意付出","看日常支持与压力场景的实际行动","relationship_pattern"
"PF-G08","G","关系行为","忠诚执行","专一;不花心","看具体边界、透明度和承诺行为","relationship_pattern"
"PF-G09","G","关系行为","决策主导 / 控制方式","强势;喜欢做主;控制欲强;有主见","看谁默认拥有决定权、对方不同意时是否协商、是否把负责变成控制","relationship_pattern"
