"raw_id","source_id","raw_layer","raw_term","target_asset","candidate_view","concept_kind","canonical_concept_v0","mapping_confidence","mapping_note"
"R099","S04","popular_search_term","真诚","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","真诚","high",""
"R100","S04","popular_search_term","惹人注目","Person Feature Space","A｜Profile / Reality Facts","appearance_label","惹人注目","medium","Perceived label rather than verified fact."
"R101","S04","popular_search_term","长发","Person Feature Space","A｜Profile / Reality Facts","appearance_label","长发","medium","Perceived label rather than verified fact."
"R102","S04","popular_search_term","清纯可爱","Person Feature Space","A｜Profile / Reality Facts","appearance_label","清纯可爱","medium","Perceived label rather than verified fact."
"R103","S04","popular_search_term","笑得很甜","Person Feature Space","A｜Profile / Reality Facts","appearance_label","笑得很甜","medium","Perceived label rather than verified fact."
"R104","S04","popular_search_term","文静","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","文静","high",""
"R105","S04","popular_search_term","羞涩","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","羞涩","high",""
"R106","S04","popular_search_term","超凡脱俗","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","超凡脱俗","high",""
"R107","S04","popular_search_term","爱运动","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","爱运动","medium",""
"R108","S04","popular_search_term","野蛮女友","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","野蛮女友","high",""
"R109","S04","popular_search_term","妩媚","Person Feature Space","A｜Profile / Reality Facts","appearance_label","妩媚","medium","Perceived label rather than verified fact."
"R110","S04","popular_search_term","端庄大方","Person Feature Space","A｜Profile / Reality Facts","appearance_label","端庄大方","medium","Perceived label rather than verified fact."
"R111","S04","popular_search_term","秀外慧中","Person Feature Space","A｜Profile / Reality Facts","appearance_label","秀外慧中","medium","Perceived label rather than verified fact."
"R112","S04","popular_search_term","小资","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","小资","high",""
"R113","S04","popular_search_term","宅女","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","宅女","high",""
"R114","S04","popular_search_term","高挑","Person Feature Space","A｜Profile / Reality Facts","appearance_label","高挑","medium","Perceived label rather than verified fact."
"R115","S04","popular_search_term","有气质","Person Feature Space","A｜Profile / Reality Facts","appearance_label","有气质","medium","Perceived label rather than verified fact."
"R116","S04","popular_search_term","孝顺","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","孝顺","high",""
"R117","S04","popular_search_term","老师","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","老师","medium",""
"R118","S04","popular_search_term","善良","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","善良","high",""
"R119","S04","popular_search_term","个性","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","个性","high",""
"R120","S04","popular_search_term","活泼开朗","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","活泼开朗","high",""
"R121","S04","popular_search_term","理财","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","理财","high",""
"R122","S04","popular_search_term","成熟大气","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","成熟大气","high",""
"R123","S04","popular_search_term","性感风情","Person Feature Space","A｜Profile / Reality Facts","appearance_label","性感风情","medium","Perceived label rather than verified fact."
"R124","S04","popular_search_term","骨感","Person Feature Space","A｜Profile / Reality Facts","appearance_label","骨感","medium","Perceived label rather than verified fact."
"R125","S05","profile_field","性别","Person Feature Space","A｜Profile / Reality Facts","profile_fact","性别","high",""
"R126","S05","profile_field","年龄","Person Feature Space","A｜Profile / Reality Facts","profile_fact","年龄","high",""
"R127","S05","profile_field","身高","Person Feature Space","A｜Profile / Reality Facts","profile_fact","身高","high",""
"R128","S05","profile_field","体重","Person Feature Space","A｜Profile / Reality Facts","profile_fact","体重","high",""
"R129","S05","profile_field","学历","Person Feature Space","A｜Profile / Reality Facts","profile_fact","学历","high",""
"R130","S05","profile_field","婚姻状况","Person Feature Space","A｜Profile / Reality Facts","profile_fact","婚姻状况","high",""
"R131","S05","profile_field","所在地","Person Feature Space","B｜Social Identity / Context","context_fact","所在地","high",""
"R132","S05","profile_field","月薪区间","Person Feature Space","A｜Profile / Reality Facts","profile_fact","月薪区间","high",""
"R133","S05","profile_field","住房情况","Person Feature Space","A｜Profile / Reality Facts","profile_fact","住房情况","high",""
"R134","S05","profile_field","购车情况","Person Feature Space","A｜Profile / Reality Facts","profile_fact","购车情况","high",""
"R135","S05","profile_field","籍贯","Person Feature Space","B｜Social Identity / Context","context_fact","籍贯","high",""
"R136","S05","profile_field","户口","Person Feature Space","B｜Social Identity / Context","context_fact","户口","high",""
"R137","S05","profile_field","血型","Person Feature Space","A｜Profile / Reality Facts","profile_fact","血型","high",""
"R138","S05","profile_field","民族","Person Feature Space","B｜Social Identity / Context","context_fact","民族","high",""
"R139","S05","profile_field","毕业院校","Person Feature Space","A｜Profile / Reality Facts","profile_fact","毕业院校","high",""
"R140","S05","profile_field","公司类型","Person Feature Space","A｜Profile / Reality Facts","profile_fact","公司类型","high",""
"R141","S05","profile_field","职业","Person Feature Space","A｜Profile / Reality Facts","profile_fact","职业","high",""
"R142","S05","profile_field","是否抽烟","Person Feature Space","A｜Profile / Reality Facts","profile_fact","是否抽烟","high",""
"R143","S05","profile_field","是否喝酒","Person Feature Space","A｜Profile / Reality Facts","profile_fact","是否喝酒","high",""
"R144","S05","profile_field","是否有孩子","Person Feature Space","A｜Profile / Reality Facts","profile_fact","是否有孩子","high",""
"R145","S05","profile_field","是否想要孩子","Person Feature Space","A｜Profile / Reality Facts","profile_fact","是否想要孩子","high",""
"R146","S05","profile_field","何时结婚","Person Feature Space","A｜Profile / Reality Facts","profile_fact","何时结婚","high",""
"R147","S05","profile_field","性格","Person Feature Space","A｜Profile / Reality Facts","profile_fact","性格","high",""
"R148","S05","profile_field","外形","Person Feature Space","A｜Profile / Reality Facts","profile_fact","外形","high",""
"R149","S05","profile_field","个性标签","Person Feature Space","A｜Profile / Reality Facts","profile_fact","个性标签","high",""
"R150","S05","profile_field","运动爱好","Person Feature Space","A｜Profile / Reality Facts","profile_fact","运动爱好","high",""
"R151","S05","profile_field","美食爱好","Person Feature Space","A｜Profile / Reality Facts","profile_fact","美食爱好","high",""
"R152","S05","profile_field","旅游足迹","Person Feature Space","A｜Profile / Reality Facts","profile_fact","旅游足迹","high",""
"R153","S05","mate_condition_field","择偶年龄","Person Feature Space","A｜Profile / Reality Facts","profile_fact","择偶年龄","high",""
"R154","S05","mate_condition_field","择偶身高","Person Feature Space","A｜Profile / Reality Facts","profile_fact","择偶身高","high",""
"R155","S05","mate_condition_field","择偶所在地","Person Feature Space","A｜Profile / Reality Facts","profile_fact","择偶所在地","high",""
"R156","S05","mate_condition_field","择偶学历","Person Feature Space","A｜Profile / Reality Facts","profile_fact","择偶学历","high",""
"R157","S05","mate_condition_field","择偶居住地","Person Feature Space","A｜Profile / Reality Facts","profile_fact","择偶居住地","high",""
"R158","S05","mate_condition_field","择偶婚姻状况","Person Feature Space","A｜Profile / Reality Facts","profile_fact","择偶婚姻状况","high",""
"R159","S06","self_description_tag","完美主义","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","完美主义","high",""
"R160","S06","self_description_tag","冷静","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","冷静","high",""
"R161","S06","self_description_tag","稳重","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","稳重","high",""
"R162","S06","self_description_tag","爱挑战","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","爱挑战","high",""
"R163","S06","self_description_tag","有责任心","Relationship Process","G｜Relationship Process","relationship_process","有责任心","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R164","S06","self_description_tag","开朗","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","开朗","high",""
"R165","S06","self_description_tag","包容","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","包容","high",""
"R166","S06","self_description_tag","乐观","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","乐观","high",""
"R167","S06","self_description_tag","游泳","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","游泳","medium",""
"R168","S06","self_description_tag","NBA","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","NBA","medium",""
"R169","S06","self_description_tag","画画","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","画画","medium",""
"R170","S06","self_description_tag","美食","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","美食","medium",""
"R171","S06","self_description_tag","运动","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","运动","high",""
"R172","S06","self_description_tag","话剧","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","话剧","medium",""
"R173","S06","self_description_tag","帅","Person Feature Space","A｜Profile / Reality Facts","appearance_label","帅","medium","Perceived label rather than verified fact."
"R174","S06","self_description_tag","比较瘦","Person Feature Space","A｜Profile / Reality Facts","appearance_label","比较瘦","medium","Perceived label rather than verified fact."
"R175","S06","self_description_tag","有腹肌","Person Feature Space","A｜Profile / Reality Facts","appearance_label","有腹肌","medium","Perceived label rather than verified fact."
"R176","S06","self_description_tag","有男人味","Person Feature Space","A｜Profile / Reality Facts","appearance_label","有男人味","medium","Perceived label rather than verified fact."
"R177","S06","self_description_tag","自己创业","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","自己创业","medium",""
"R178","S06","self_description_tag","在私企","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","在私企","medium",""
"R179","S06","self_description_tag","在国企","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","在国企","medium",""
"R180","S06","self_description_tag","外企","Person Feature Space","F｜Lifestyle / Resource Allocation","interest_identity","外企","medium",""
"R181","S06","self_description_tag","胖子","Person Feature Space","A｜Profile / Reality Facts","appearance_label","胖子","medium","Perceived label rather than verified fact."
"R182","S06","self_description_tag","话唠","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","话唠","high",""
"R183","S06","self_description_tag","潮男","Person Feature Space","A｜Profile / Reality Facts","appearance_label","潮男","medium","Perceived label rather than verified fact."
"R184","S06","self_description_tag","工作狂","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","工作狂","high",""
"R185","S07","profile_field","工作地区","Person Feature Space","B｜Social Identity / Context","context_fact","工作地区","high",""
"R186","S07","profile_field","身高","Person Feature Space","A｜Profile / Reality Facts","profile_fact","身高","high",""
"R187","S07","profile_field","学历","Person Feature Space","A｜Profile / Reality Facts","profile_fact","学历","high",""
"R188","S07","profile_field","月收入区间","Person Feature Space","A｜Profile / Reality Facts","profile_fact","月收入区间","high",""
"R189","S07","profile_field","籍贯","Person Feature Space","B｜Social Identity / Context","context_fact","籍贯","high",""
"R190","S07","profile_field","职业","Person Feature Space","A｜Profile / Reality Facts","profile_fact","职业","high",""
"R191","S07","profile_field","买车情况","Person Feature Space","A｜Profile / Reality Facts","profile_fact","买车情况","high",""
"R192","S07","profile_field","买房情况","Person Feature Space","A｜Profile / Reality Facts","profile_fact","买房情况","high",""
"R193","S07","profile_field","体重","Person Feature Space","A｜Profile / Reality Facts","profile_fact","体重","high",""
"R194","S07","profile_field","体型","Person Feature Space","A｜Profile / Reality Facts","profile_fact","体型","high",""
"R195","S07","profile_field","个人爱好","Person Feature Space","A｜Profile / Reality Facts","profile_fact","个人爱好","high",""
"R196","S07","profile_field","星座","Person Feature Space","A｜Profile / Reality Facts","profile_fact","星座","high",""
"R197","S07","profile_field","民族","Person Feature Space","B｜Social Identity / Context","context_fact","民族","high",""
"R198","S07","profile_field","真实头像","Person Feature Space","A｜Profile / Reality Facts","profile_fact","真实头像","high",""
"R199","S07","profile_field","择偶条件","Person Feature Space","A｜Profile / Reality Facts","profile_fact","择偶条件","high",""
"R200","S07","parent_match_field","性别","Person Feature Space","A｜Profile / Reality Facts","profile_fact","性别","high",""
"R201","S07","parent_match_field","年龄","Person Feature Space","A｜Profile / Reality Facts","profile_fact","年龄","high",""
"R202","S07","parent_match_field","身高","Person Feature Space","A｜Profile / Reality Facts","profile_fact","身高","high",""
"R203","S07","parent_match_field","学历","Person Feature Space","A｜Profile / Reality Facts","profile_fact","学历","high",""
"R204","S07","parent_match_field","职业","Person Feature Space","A｜Profile / Reality Facts","profile_fact","职业","high",""
"R205","S07","parent_match_field","收入范围","Person Feature Space","A｜Profile / Reality Facts","profile_fact","收入范围","high",""
"R206","S07","parent_match_field","工作地","Person Feature Space","B｜Social Identity / Context","context_fact","工作地","high",""
"R207","S07","parent_match_field","籍贯","Person Feature Space","B｜Social Identity / Context","context_fact","籍贯","high",""
"R208","S07","parent_match_field","婚史","Person Feature Space","B｜Social Identity / Context","context_fact","婚史","high",""
"R209","S07","parent_match_field","择偶标准","Person Feature Space","A｜Profile / Reality Facts","profile_fact","择偶标准","high",""
"R210","S08","china_spouse_attribute","收入","Person Feature Space","A｜Profile / Reality Facts","profile_fact","收入","high",""
"R211","S08","china_spouse_attribute","房产所有权","Person Feature Space","A｜Profile / Reality Facts","profile_fact","房产所有权","high",""
"R212","S08","china_spouse_attribute","教育程度","Person Feature Space","A｜Profile / Reality Facts","profile_fact","教育程度","high",""
"R213","S08","china_spouse_attribute","城乡出身","Person Feature Space","B｜Social Identity / Context","context_fact","城乡出身","high",""
"R214","S08","china_spouse_attribute","年龄","Person Feature Space","A｜Profile / Reality Facts","profile_fact","年龄","high",""
"R215","S08","china_spouse_attribute","外貌","Person Feature Space","A｜Profile / Reality Facts","profile_fact","外貌","high",""
"R216","S09","youth_preference","道德品质","Person Feature Space","D｜Values / Goals / Priorities","value_goal_need","道德品质","high",""
"R217","S09","youth_preference","三观","Person Feature Space","D｜Values / Goals / Priorities","value_goal_need","三观","high",""
"R218","S09","youth_preference","性格","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","性格","high",""
"R219","S10","survey_trait_male_pref","善良","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","善良","high",""
"R220","S10","survey_trait_male_pref","孝顺","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","孝顺","high",""
"R221","S10","survey_trait_male_pref","温柔","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","温柔","high",""
"R222","S10","survey_trait_male_pref","体贴","Relationship Process","G｜Relationship Process","relationship_process","体贴","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R223","S10","survey_trait_male_pref","诚实","Relationship Process","G｜Relationship Process","relationship_process","诚实","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R224","S10","survey_trait_female_pref","有责任心","Relationship Process","G｜Relationship Process","relationship_process","有责任心","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R225","S10","survey_trait_female_pref","上进","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","上进","high",""
"R226","S10","survey_trait_female_pref","善良","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","善良","high",""
"R227","S10","survey_trait_female_pref","体贴","Relationship Process","G｜Relationship Process","relationship_process","体贴","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R228","S10","survey_trait_female_pref","成熟稳重","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","成熟稳重","high",""
"R229","S11","life_context","稳定收入","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","稳定收入","high",""
"R230","S11","life_context","职业前景良好","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","职业前景良好","high",""
"R231","S11","life_context","租房结婚可接受","Context / Constraint","B｜Social Identity / Context","life_context","租房结婚可接受","medium","Context signal, not necessarily a mate trait."
"R232","S11","life_context","工作忙","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","工作忙","high",""
"R233","S11","life_context","圈子小","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","圈子小","high",""
"R234","S11","life_context","经济条件不理想","Context / Constraint","B｜Social Identity / Context","life_context","经济条件不理想","medium","Context signal, not necessarily a mate trait."
"R235","S12","china_online_dating_signal","教育程度","Person Feature Space","A｜Profile / Reality Facts","profile_fact","教育程度","high",""
"R236","S12","china_online_dating_signal","收入预期","Person Feature Space","A｜Profile / Reality Facts","profile_signal","收入预期","high",""
"R237","S12","china_online_dating_signal","工作能力","Person Feature Space","E｜Capabilities / Regulation","capability","工作能力","high",""
