"raw_id","source_id","raw_layer","raw_term","notes"
"R116","S04","popular_search_term","孝顺","Current Jiayuan popular search terms surfaced by search page"
"R117","S04","popular_search_term","老师","Current Jiayuan popular search terms surfaced by search page"
"R118","S04","popular_search_term","善良","Current Jiayuan popular search terms surfaced by search page"
"R119","S04","popular_search_term","个性","Current Jiayuan popular search terms surfaced by search page"
"R120","S04","popular_search_term","活泼开朗","Current Jiayuan popular search terms surfaced by search page"
"R121","S04","popular_search_term","理财","Current Jiayuan popular search terms surfaced by search page"
"R122","S04","popular_search_term","成熟大气","Current Jiayuan popular search terms surfaced by search page"
"R123","S04","popular_search_term","性感风情","Current Jiayuan popular search terms surfaced by search page"
"R124","S04","popular_search_term","骨感","Current Jiayuan popular search terms surfaced by search page"
"R125","S05","profile_field","性别","Current Jiayuan profile fields"
"R126","S05","profile_field","年龄","Current Jiayuan profile fields"
"R127","S05","profile_field","身高","Current Jiayuan profile fields"
"R128","S05","profile_field","体重","Current Jiayuan profile fields"
"R129","S05","profile_field","学历","Current Jiayuan profile fields"
"R130","S05","profile_field","婚姻状况","Current Jiayuan profile fields"
"R131","S05","profile_field","所在地","Current Jiayuan profile fields"
"R132","S05","profile_field","月薪区间","Current Jiayuan profile fields"
"R133","S05","profile_field","住房情况","Current Jiayuan profile fields"
"R134","S05","profile_field","购车情况","Current Jiayuan profile fields"
"R135","S05","profile_field","籍贯","Current Jiayuan profile fields"
"R136","S05","profile_field","户口","Current Jiayuan profile fields"
"R137","S05","profile_field","血型","Current Jiayuan profile fields"
"R138","S05","profile_field","民族","Current Jiayuan profile fields"
"R139","S05","profile_field","毕业院校","Current Jiayuan profile fields"
"R140","S05","profile_field","公司类型","Current Jiayuan profile fields"
"R141","S05","profile_field","职业","Current Jiayuan profile fields"
"R142","S05","profile_field","是否抽烟","Current Jiayuan profile fields"
"R143","S05","profile_field","是否喝酒","Current Jiayuan profile fields"
"R144","S05","profile_field","是否有孩子","Current Jiayuan profile fields"
"R145","S05","profile_field","是否想要孩子","Current Jiayuan profile fields"
"R146","S05","profile_field","何时结婚","Current Jiayuan profile fields"
"R147","S05","profile_field","性格","Current Jiayuan profile fields"
"R148","S05","profile_field","外形","Current Jiayuan profile fields"
"R149","S05","profile_field","个性标签","Current Jiayuan profile fields"
"R150","S05","profile_field","运动爱好","Current Jiayuan profile fields"
"R151","S05","profile_field","美食爱好","Current Jiayuan profile fields"
"R152","S05","profile_field","旅游足迹","Current Jiayuan profile fields"
"R153","S05","mate_condition_field","择偶年龄","Current Jiayuan explicit mate-condition fields"
"R154","S05","mate_condition_field","择偶身高","Current Jiayuan explicit mate-condition fields"
"R155","S05","mate_condition_field","择偶所在地","Current Jiayuan explicit mate-condition fields"
"R156","S05","mate_condition_field","择偶学历","Current Jiayuan explicit mate-condition fields"
"R157","S05","mate_condition_field","择偶居住地","Current Jiayuan explicit mate-condition fields"
"R158","S05","mate_condition_field","择偶婚姻状况","Current Jiayuan explicit mate-condition fields"
"R159","S06","self_description_tag","完美主义","Current Jiayuan registration tags"
"R160","S06","self_description_tag","冷静","Current Jiayuan registration tags"
"R161","S06","self_description_tag","稳重","Current Jiayuan registration tags"
"R162","S06","self_description_tag","爱挑战","Current Jiayuan registration tags"
"R163","S06","self_description_tag","有责任心","Current Jiayuan registration tags"
"R164","S06","self_description_tag","开朗","Current Jiayuan registration tags"
"R165","S06","self_description_tag","包容","Current Jiayuan registration tags"
"R166","S06","self_description_tag","乐观","Current Jiayuan registration tags"
"R167","S06","self_description_tag","游泳","Current Jiayuan registration tags"
"R168","S06","self_description_tag","NBA","Current Jiayuan registration tags"
"R169","S06","self_description_tag","画画","Current Jiayuan registration tags"
"R170","S06","self_description_tag","美食","Current Jiayuan registration tags"
"R171","S06","self_description_tag","运动","Current Jiayuan registration tags"
"R172","S06","self_description_tag","话剧","Current Jiayuan registration tags"
"R173","S06","self_description_tag","帅","Current Jiayuan registration tags"
"R174","S06","self_description_tag","比较瘦","Current Jiayuan registration tags"
"R175","S06","self_description_tag","有腹肌","Current Jiayuan registration tags"
"R176","S06","self_description_tag","有男人味","Current Jiayuan registration tags"
"R177","S06","self_description_tag","自己创业","Current Jiayuan registration tags"
"R178","S06","self_description_tag","在私企","Current Jiayuan registration tags"
"R179","S06","self_description_tag","在国企","Current Jiayuan registration tags"
"R180","S06","self_description_tag","外企","Current Jiayuan registration tags"
"R181","S06","self_description_tag","胖子","Current Jiayuan registration tags"
"R182","S06","self_description_tag","话唠","Current Jiayuan registration tags"
"R183","S06","self_description_tag","潮男","Current Jiayuan registration tags"
"R184","S06","self_description_tag","工作狂","Current Jiayuan registration tags"
"R185","S07","profile_field","工作地区","Current Zhenai optional profile/mate information"
"R186","S07","profile_field","身高","Current Zhenai optional profile/mate information"
"R187","S07","profile_field","学历","Current Zhenai optional profile/mate information"
"R188","S07","profile_field","月收入区间","Current Zhenai optional profile/mate information"
"R189","S07","profile_field","籍贯","Current Zhenai optional profile/mate information"
"R190","S07","profile_field","职业","Current Zhenai optional profile/mate information"
"R191","S07","profile_field","买车情况","Current Zhenai optional profile/mate information"
"R192","S07","profile_field","买房情况","Current Zhenai optional profile/mate information"
"R193","S07","profile_field","体重","Current Zhenai optional profile/mate information"
"R194","S07","profile_field","体型","Current Zhenai optional profile/mate information"
"R195","S07","profile_field","个人爱好","Current Zhenai optional profile/mate information"
"R196","S07","profile_field","星座","Current Zhenai optional profile/mate information"
"R197","S07","profile_field","民族","Current Zhenai optional profile/mate information"
"R198","S07","profile_field","真实头像","Current Zhenai optional profile/mate information"
"R199","S07","profile_field","择偶条件","Current Zhenai optional profile/mate information"
"R200","S07","parent_match_field","性别","Fields used in parent-assisted matching"
"R201","S07","parent_match_field","年龄","Fields used in parent-assisted matching"
"R202","S07","parent_match_field","身高","Fields used in parent-assisted matching"
"R203","S07","parent_match_field","学历","Fields used in parent-assisted matching"
"R204","S07","parent_match_field","职业","Fields used in parent-assisted matching"
"R205","S07","parent_match_field","收入范围","Fields used in parent-assisted matching"
"R206","S07","parent_match_field","工作地","Fields used in parent-assisted matching"
"R207","S07","parent_match_field","籍贯","Fields used in parent-assisted matching"
"R208","S07","parent_match_field","婚史","Fields used in parent-assisted matching"
"R209","S07","parent_match_field","择偶标准","Fields used in parent-assisted matching"
"R210","S08","china_spouse_attribute","收入","2021 CGSS survey experiment attributes"
"R211","S08","china_spouse_attribute","房产所有权","2021 CGSS survey experiment attributes"
"R212","S08","china_spouse_attribute","教育程度","2021 CGSS survey experiment attributes"
"R213","S08","china_spouse_attribute","城乡出身","2021 CGSS survey experiment attributes"
"R214","S08","china_spouse_attribute","年龄","2021 CGSS survey experiment attributes"
"R215","S08","china_spouse_attribute","外貌","2021 CGSS survey experiment attributes"
"R216","S09","youth_preference","道德品质","2026 national youth survey: top stated considerations for Gen Z"
"R217","S09","youth_preference","三观","2026 national youth survey: top stated considerations for Gen Z"
"R218","S09","youth_preference","性格","2026 national youth survey: top stated considerations for Gen Z"
"R219","S10","survey_trait_male_pref","善良","Jiayuan 2020-2021 report: top traits valued by single men after hard indicators"
"R220","S10","survey_trait_male_pref","孝顺","Jiayuan 2020-2021 report: top traits valued by single men after hard indicators"
"R221","S10","survey_trait_male_pref","温柔","Jiayuan 2020-2021 report: top traits valued by single men after hard indicators"
"R222","S10","survey_trait_male_pref","体贴","Jiayuan 2020-2021 report: top traits valued by single men after hard indicators"
"R223","S10","survey_trait_male_pref","诚实","Jiayuan 2020-2021 report: top traits valued by single men after hard indicators"
"R224","S10","survey_trait_female_pref","有责任心","Jiayuan 2020-2021 report: top traits valued by single women after hard indicators"
"R225","S10","survey_trait_female_pref","上进","Jiayuan 2020-2021 report: top traits valued by single women after hard indicators"
"R226","S10","survey_trait_female_pref","善良","Jiayuan 2020-2021 report: top traits valued by single women after hard indicators"
"R227","S10","survey_trait_female_pref","体贴","Jiayuan 2020-2021 report: top traits valued by single women after hard indicators"
"R228","S10","survey_trait_female_pref","成熟稳重","Jiayuan 2020-2021 report: top traits valued by single women after hard indicators"
"R229","S11","life_context","稳定收入","2019 youth survey context signals; not all are mate traits"
"R230","S11","life_context","职业前景良好","2019 youth survey context signals; not all are mate traits"
"R231","S11","life_context","租房结婚可接受","2019 youth survey context signals; not all are mate traits"
"R232","S11","life_context","工作忙","2019 youth survey context signals; not all are mate traits"
"R233","S11","life_context","圈子小","2019 youth survey context signals; not all are mate traits"
"R234","S11","life_context","经济条件不理想","2019 youth survey context signals; not all are mate traits"
"R235","S12","china_online_dating_signal","教育程度","Shanghai online-dater study: interpreted partner signals/proxies"
"R236","S12","china_online_dating_signal","收入预期","Shanghai online-dater study: interpreted partner signals/proxies"
"R237","S12","china_online_dating_signal","工作能力","Shanghai online-dater study: interpreted partner signals/proxies"
"R238","S12","china_online_dating_signal","住房/房产","Shanghai online-dater study: interpreted partner signals/proxies"
"R239","S12","china_online_dating_signal","家庭背景","Shanghai online-dater study: interpreted partner signals/proxies"
"R240","S12","china_online_dating_signal","文化资源","Shanghai online-dater study: interpreted partner signals/proxies"
"R241","S13","academic_factor","温暖/可信","Ideal Standards Model factors"
"R242","S13","academic_factor","活力/吸引力","Ideal Standards Model factors"
"R243","S13","academic_factor","地位/资源","Ideal Standards Model factors"
"R244","S13","academic_factor","关系亲密/忠诚","Ideal Standards Model factors"
"R245","S13","academic_factor","激情","Ideal Standards Model factors"
"R246","S14","academic_attribute_family","温暖/可信","Worldwide study attribute families / explicit additional item"
"R247","S14","academic_attribute_family","活力/吸引力","Worldwide study attribute families / explicit additional item"
"R248","S14","academic_attribute_family","地位/资源","Worldwide study attribute families / explicit additional item"
"R249","S14","academic_attribute_family","人格特质","Worldwide study attribute families / explicit additional item"
"R250","S14","academic_attribute_family","气味良好","Worldwide study attribute families / explicit additional item"
"R251","S15","academic_factor","身体吸引/physicality","2026 study proposed preference components"
"R252","S15","academic_factor","关怀/compassion","2026 study proposed preference components"
"R253","S15","academic_factor","能力/competence","2026 study proposed preference components"
"R254","S15","academic_factor","兼容性/compatibility","2026 study proposed preference components"
"R255","S16","china_marriage_sorting","外貌","China beauty-status exchange study"
"R256","S16","china_marriage_sorting","社会经济地位","China beauty-status exchange study"
"R257","S17","youth_preference","三观相合","2025 Hongkou youth marriage white paper"
"R258","S17","youth_preference","家庭背景","2025 Hongkou youth marriage white paper"
"R259","S17","youth_preference","经济条件","2025 Hongkou youth marriage white paper"
"R260","S17","youth_preference","职业类别","2025 Hongkou youth marriage white paper"
"R261","S18","network_mate_ideal","高颜值","2026 network-society youth marriage report; mixed preference and relationship concepts"
"R262","S18","network_mate_ideal","高情绪价值","2026 network-society youth marriage report; mixed preference and relationship concepts"
"R263","S18","network_mate_ideal","高物质保障","2026 network-society youth marriage report; mixed preference and relationship concepts"
"R264","S18","network_mate_ideal","信任","2026 network-society youth marriage report; mixed preference and relationship concepts"
"R265","S18","network_mate_ideal","边界","2026 network-society youth marriage report; mixed preference and relationship concepts"
"R266","S18","network_mate_ideal","情感依赖","2026 network-society youth marriage report; mixed preference and relationship concepts"
"R267","S19","community_signal","理性稳定","Weibo trend; weak signal, not fact"
"R268","S19","community_signal","自控力","Weibo trend; weak signal, not fact"
"R269","S19","community_signal","逻辑力","Weibo trend; weak signal, not fact"
"R270","S19","community_signal","共情力","Weibo trend; weak signal, not fact"
"R271","S19","community_signal","延迟满足","Weibo trend; weak signal, not fact"
"R272","S19","community_signal","不冲动","Weibo trend; weak signal, not fact"
"R273","S19","community_signal","不冷暴力","Weibo trend; weak signal, not fact"
"R274","S19","community_signal","不翻旧账","Weibo trend; weak signal, not fact"
"R275","S19","community_signal","听得进道理","Weibo trend; weak signal, not fact"
"R276","S19","community_signal","扛得住压力","Weibo trend; weak signal, not fact"
"R277","S19","community_signal","有边界感","Weibo trend; weak signal, not fact"
"R278","S19","community_signal","会解决问题","Weibo trend; weak signal, not fact"
"R279","S20","community_content","人品","Weibo relationship-content list; weak signal, not fact"
"R280","S20","community_content","不画大饼","Weibo relationship-content list; weak signal, not fact"
"R281","S20","community_content","情绪稳定","Weibo relationship-content list; weak signal, not fact"
"R282","S20","community_content","不冷暴力","Weibo relationship-content list; weak signal, not fact"
"R283","S20","community_content","责任感","Weibo relationship-content list; weak signal, not fact"
"R284","S20","community_content","经济透明","Weibo relationship-content list; weak signal, not fact"
"R285","S20","community_content","尊重女性","Weibo relationship-content list; weak signal, not fact"
"R286","S20","community_content","三观契合","Weibo relationship-content list; weak signal, not fact"
"R287","S20","community_content","身体健康","Weibo relationship-content list; weak signal, not fact"
"R288","S20","community_content","家庭边界","Weibo relationship-content list; weak signal, not fact"
"R289","S20","community_content","愿意付出","Weibo relationship-content list; weak signal, not fact"
"R290","S20","community_content","上进心","Weibo relationship-content list; weak signal, not fact"
