"concept_id","view","group","canonical_concept","examples","content_use"
"SC-S2-08","S2","共同生活领域","社交/朋友/个人空间","聚会;异性边界;独处;共同朋友圈","自主、边界、陪伴与信任"
"SC-S2-09","S2","共同生活领域","兴趣/休闲/旅行","健身;游戏;旅行;共同活动","时间投入、共同体验与各自生活"
"SC-S2-10","S2","共同生活领域","性/身体亲密","性需求;身体接触;忠诚边界","沟通、自主、欲望与身体变化"
"SC-S2-11","S2","共同生活领域","健康/疾病/照护","生病;慢性病;残障;照护","角色改变、压力、可靠与亲密"
"SC-S2-12","S2","共同生活领域","价值/人生方向","孩子;城市;成功;自由;意义","长期方向冲突与协商"
"SC-S3-01","S3","Trigger/压力","工作时间突变","临时加班;连续加班;出差增加","日常计划被工作侵入"
"SC-S3-02","S3","Trigger/压力","事业机会/职业转折","晋升;跳槽;创业机会;外派","收益与时间/地点代价同时变化"
"SC-S3-03","S3","Trigger/压力","失业/收入下降","裁员;失业;降薪","经济与身份、家务、情绪一起变化"
"SC-S3-04","S3","Trigger/压力","大额财务事件","买房;负债;投资亏损;大额支出","风险承担和共同决策"
"SC-S3-05","S3","Trigger/压力","居住/迁移变化","搬家;异地;换城市;与父母同住","空间、职业、父母支持与社交改变"
"SC-S3-06","S3","Trigger/压力","生育/育儿转折","怀孕;生产;孩子生病;入学","任务和资源密度显著增加"
"SC-S3-07","S3","Trigger/压力","父母责任变化","父母住院;养老;经济支持","小家与大家庭资源重新分配"
"SC-S3-08","S3","Trigger/压力","本人健康变化","生病;慢性病;意外;残障","照护、工作、性和角色变化"
"SC-S3-09","S3","Trigger/压力","社交/边界事件","朋友临时加入;异性联系;隐私冲突","边界与信任进入具体场景"
"SC-S3-10","S3","Trigger/压力","反复小问题累积","第三次取消;长期不做家务;反复迟到","从单次事件升级成模式"
"SC-S4-01","S4","任务/资源重分配","时间重新分配","谁陪伴;谁请假;谁加班","有限时间如何分配"
"SC-S4-02","S4","任务/资源重分配","钱重新分配","共同支出;父母支持;育儿;储蓄","钱流向体现优先级与安全"
"SC-S4-03","S4","任务/资源重分配","精力/注意力重新分配","工作;孩子;伴侣;自我","不仅看小时数，还看可用心力"
"SC-S4-04","S4","任务/资源重分配","家务重新分配","做饭;洗衣;采购;清洁","实际劳动与公平感"
"SC-S4-05","S4","任务/资源重分配","育儿重新分配","夜醒;喂养;接送;家校","长期高频责任"
"SC-S4-06","S4","任务/资源重分配","照护重新分配","伴侣生病;父母住院;老人照护","谁承担、多久、如何支持"
"SC-S4-07","S4","任务/资源重分配","职业机会重新分配","谁搬家;谁降速;谁请假","机会成本显性化"
"SC-S4-08","S4","任务/资源重分配","空间/居住重新分配","独处;房间;与父母同住","自主与共同生活边界"
"SC-S4-09","S4","任务/资源重分配","情绪支持重新分配","安慰;倾听;实际帮助","压力时谁支持谁"
"SC-S4-10","S4","任务/资源重分配","计划/Mental Load重新分配","记住;安排;提醒;协调","隐形劳动和决策负担"
"SC-S7-01","S7","时间模式","一次偶发","偶尔一次;突发","不轻易升级成人格结论"
"SC-S7-02","S7","时间模式","低频重复","每月;偶尔重复","开始形成模式证据"
"SC-S7-03","S7","时间模式","高频重复","每周;经常","长期体验的重要来源"
"SC-S7-04","S7","时间模式","强度升级","越来越严重","同一问题的影响扩大"
"SC-S7-05","S7","时间模式","持续时间拉长","持续数月;长期","资源和情绪被持续占用"
"SC-S7-06","S7","时间模式","表达后仍不调整","说过很多次;承诺后没变","关系过程比问题本身更关键"
"SC-S7-07","S7","时间模式","修复后维持","谈过;改过;保持住","真实改变逐渐成为新模式"
"SC-S7-08","S7","时间模式","反复破裂与修复","吵架-和好循环","需要看修复质量和重复成本"
