"raw_id","source_id","raw_layer","raw_term","target_asset","candidate_view","concept_kind","mapping_confidence","mapping_note"
"SC-R052","SC02","resource_destination","伴侣","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R053","SC02","resource_destination","孩子","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R054","SC02","resource_destination","父母","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R055","SC02","resource_destination","朋友","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R056","SC02","resource_destination","兴趣","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R057","SC02","resource_destination","健身","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R058","SC02","resource_destination","学习","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R059","SC02","resource_destination","休息","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R060","SC02","resource_destination","自己","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R061","SC02","daily_domain","睡眠","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R062","SC02","daily_domain","饮食","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R063","SC02","daily_domain","卫生","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R064","SC02","daily_domain","整洁","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R065","SC02","daily_domain","手机","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R066","SC02","daily_domain","游戏","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R067","SC02","daily_domain","娱乐","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R068","SC02","daily_domain","宠物","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R069","SC02","daily_domain","休息","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R070","SC02","work_domain","工作时间","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R071","SC02","work_domain","出差","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R072","SC02","work_domain","职业野心","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R073","SC02","work_domain","收入变化","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R074","SC02","work_domain","学习","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R075","SC02","work_domain","创业","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R076","SC02","work_domain","职业迁移","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R077","SC02","work_domain","谁为谁牺牲机会","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R078","SC02","money_domain","收入","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R079","SC02","money_domain","财富","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R080","SC02","money_domain","负债","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R081","SC02","money_domain","消费","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R082","SC02","money_domain","储蓄","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R083","SC02","money_domain","投资","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R084","SC02","money_domain","大额支出","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R085","SC02","money_domain","共同账户","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R086","SC02","money_domain","财务透明","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R087","SC02","money_domain","风险偏好","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R088","SC02","household_domain","家务","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R089","SC02","household_domain","做饭","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R090","SC02","household_domain","采购","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R091","SC02","household_domain","计划","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R092","SC02","household_domain","mental load","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R093","SC02","household_domain","育儿","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R094","SC02","household_domain","接送","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R095","SC02","household_domain","老人照护","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R096","SC02","children_domain","要不要孩子","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R097","SC02","children_domain","什么时候要","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R098","SC02","children_domain","生几个","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R099","SC02","children_domain","生育风险","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R100","SC02","children_domain","育儿方式","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R101","SC02","children_domain","教育","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R102","SC02","children_domain","时间分配","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R103","SC02","children_domain","职业牺牲","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R104","SC02","parent_family_domain","父母边界","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R105","SC02","parent_family_domain","经济支持","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R106","SC02","parent_family_domain","和父母居住","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R107","SC02","parent_family_domain","节假日","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R108","SC02","parent_family_domain","照护","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R109","SC02","parent_family_domain","父母干预","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R110","SC02","parent_family_domain","家庭文化","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R111","SC02","social_space_domain","朋友","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R112","SC02","social_space_domain","异性边界","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R113","SC02","social_space_domain","聚会","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R114","SC02","social_space_domain","独处","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R115","SC02","social_space_domain","兴趣","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R116","SC02","social_space_domain","各自生活","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R117","SC02","social_space_domain","共同朋友圈","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R118","SC02","sex_intimacy_domain","性欲","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R119","SC02","sex_intimacy_domain","性频率","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R120","SC02","sex_intimacy_domain","性偏好","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R121","SC02","sex_intimacy_domain","性沟通","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R122","SC02","sex_intimacy_domain","身体接触","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R123","SC02","sex_intimacy_domain","忠诚边界","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R124","SC02","sex_intimacy_domain","身体变化","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R125","SC02","health_care_domain","身体疾病","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R126","SC02","health_care_domain","心理状态","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R127","SC02","health_care_domain","慢性病","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R128","SC02","health_care_domain","意外","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R129","SC02","health_care_domain","残障","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R130","SC02","health_care_domain","照护责任","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R131","SC02","health_care_domain","老年","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R132","SC02","location_domain","城市","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R133","SC02","location_domain","房子","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R134","SC02","location_domain","通勤","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R135","SC02","location_domain","异地","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R136","SC02","location_domain","移民","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R137","SC02","location_domain","气候","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R138","SC02","location_domain","生活成本","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R139","SC02","values_domain","宗教","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R140","SC02","values_domain","道德","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R141","SC02","values_domain","社会议题","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R142","SC02","values_domain","人生意义","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R143","SC02","values_domain","家庭理解","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R144","SC02","values_domain","成功理解","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R145","SC02","values_domain","自由理解","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R146","SC02","major_transition","生孩子","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R147","SC02","major_transition","失业","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R148","SC02","major_transition","疾病","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R149","SC02","major_transition","父母住院","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R150","SC02","major_transition","缺钱","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R151","SC02","major_transition","创业","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R152","SC02","major_transition","长期加班","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R153","SC02","major_transition","孩子生病","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R154","SC02","relationship_state","吸引/欲望","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R155","SC02","relationship_state","亲密/连接","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R156","SC02","relationship_state","信任/安全","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R157","SC02","relationship_state","被理解/被回应","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R158","SC02","relationship_state","满意","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R159","SC02","relationship_state","怨恨/消耗","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R160","SC02","relationship_state","自主/空间","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R161","SC02","relationship_state","性满意","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R162","SC02","relationship_state","承诺","Relationship State","Reference State","relationship_state","high","Outcome/state, not scene definition."
"SC-R163","SC03","scene_template","普通周末","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R164","SC03","scene_template","住到一起以后","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R165","SC03","scene_template","重大事业机会","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R166","SC03","scene_template","真正需要对方的时候","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R167","SC03","weekend_probe","陪伴","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R168","SC03","weekend_probe","兴趣","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R169","SC03","weekend_probe","社交","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R170","SC03","weekend_probe","个人空间","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R171","SC03","weekend_probe","共同活动","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R172","SC03","cohabitation_probe","家务","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R173","SC03","cohabitation_probe","作息","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R174","SC03","cohabitation_probe","钱","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R175","SC03","cohabitation_probe","整洁","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R176","SC03","cohabitation_probe","公平","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R177","SC03","cohabitation_probe","mental load","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R178","SC03","career_probe","事业","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R179","SC03","career_probe","钱","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R180","SC03","career_probe","陪伴","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R181","SC03","career_probe","城市","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R182","SC03","career_probe","支持","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R183","SC03","career_probe","谁为谁调整","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R184","SC03","crisis_probe","生病","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R185","SC03","crisis_probe","工作低谷","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R186","SC03","crisis_probe","老人住院","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R187","SC03","crisis_probe","经济压力","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R188","SC03","crisis_probe","重要个人事件","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R189","SC03","crisis_probe","关键时刻可靠","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R190","SC04","life_run_beat","关系稳定下来","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R191","SC04","life_run_beat","形成日常生活节奏","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R192","SC04","life_run_beat","反复出现的小问题","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R193","SC04","life_run_beat","共同生活加深","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R194","SC04","life_run_beat","真正的人生压力","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R195","SC04","life_run_beat","继续还是离开","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R196","SC04","encounter_scene","约会排队","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R197","SC04","encounter_scene","临时工作电话","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R198","SC04","encounter_scene","朋友临时聚会","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R199","SC04","encounter_scene","约会提前结束","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R200","SC04","encounter_scene","周末安排差异","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R201","SC04","daily_event","晚上见不见","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R202","SC04","daily_event","周末一起还是各自安排","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R203","SC04","daily_event","要不要参加朋友聚会","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R204","SC04","daily_event","谁主动联系","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R205","SC04","cohabitation_scene","洗衣","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R206","SC04","cohabitation_scene","采购","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R207","SC04","cohabitation_scene","收拾","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R208","SC04","cohabitation_scene","私人空间","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R209","SC04","cohabitation_scene","朋友来访","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R210","SC04","cohabitation_scene","生活计划","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R211","SC04","career_scene","去外地一年","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R212","SC04","career_scene","收入职位明显提升","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R213","SC04","career_scene","出差增加","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R214","SC04","career_scene","搬迁","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R215","SC04","career_scene","伴侣是否支持","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R216","SC04","career_scene","条件协商","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R217","SC04","crisis_scene","玩家生病","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R218","SC04","crisis_scene","家庭突发事件","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R219","SC04","crisis_scene","真正需要伴侣出现","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R220","SC04","final_decision","继续","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R221","SC04","final_decision","必须改变一件事","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R222","SC04","final_decision","犹豫","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R223","SC04","final_decision","离开","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R224","SC05","engine_event","WEEKEND","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R225","SC05","engine_event","COHABITATION","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R226","SC05","engine_event","CAREER_OPPORTUNITY","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R227","SC05","engine_event","CRISIS","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R228","SC05","engine_event","WORKWEEK","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R229","SC05","engine_event","EXPRESS_NEED","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R230","SC05","engine_event","EXPRESS_SPACE","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R231","SC05","engine_event","FRIEND_GATHERING","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R232","SC05","engine_event","PLAN_CHANGE","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R233","SC05","engine_event","BUDGET","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R234","SC05","engine_event","FAMILY_DUTY","Scene Space","S5｜Concrete Scene / Interaction","scene_or_probe","high",""
"SC-R235","SC05","player_action","加入对方安排","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R236","SC05","player_action","协商","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R237","SC05","player_action","各自活动","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R238","SC05","player_action","抗议","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R239","SC05","player_action","接受分工","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R240","SC05","player_action","协商分工","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R241","SC05","player_action","轮换分工","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R242","SC05","player_action","退出","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R243","SC05","player_action","支持事业机会","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R244","SC05","player_action","协商条件","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R245","SC05","player_action","反对","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R246","SC05","player_action","要求延期","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R247","SC05","player_action","直接求助","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R248","SC05","player_action","请求实际帮助","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R249","SC05","player_action","自己处理","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R250","SC05","player_action","要求固定时间","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
"SC-R251","SC05","player_action","要求更多时间","Choice / Interaction Contract","S6｜Decision / Action","action_or_decision","high","Not a scene by itself; used to make a scene interactive."
